Year	InvYear	TR	TRA1	R1	R2	R3	R4	R5	R6	R7	R8	R9	OR	HMIN	HMAX	HMEAN	HMODE	HSD	HVAR	HCV	HIQ	HSKW	HKUR	HAAD	HMADIAN	HMADODE	HL1	HL2	HL3	HL4	HLCV	HLSKW	HLKUR	HP01	HP05	HP10	HP20	HP25	HP30	HP40	HP50	HP60	HP70	HP75	HP80	HP90	HP95	HP99	CRR	HSQ	HCUB	PFRA2	PARA2	ARA2FR	FRA2	ARA2	PFRAM	PFRAMO	PARAM	PARAMO	ARAMTFR	ARAMOTFR	FRAM	FRAMO	ARAM	ARAMO	TFR	TAR	TRF	TRA1F	R1A1	HMINF	HMAXF	HMEANF	HMODEF	HSDF	HVARF	HCVF	HIQF	HSKWF	HKURF	HAADF	HMADIANF	HMADODEF	HL1F	HL2F	HL3F	HL4F	HLCVF	HLSKWF	HLKURF	HP01F	HP05F	HP10F	HP20F	HP25F	HP30F	HP40F	HP50F	HP60F	HP70F	HP75F	HP80F	HP90F	HP95F	HP99F	CRRF	HSQF	HCUBF	PFRA2F	PARA2F	ARA2FRF	FRA2F	ARA2F	PFRAMF	PFRAMOF	PARAMF	PARAMOF	ARAMTFRF	ARAMOTFRF	FRAMF	FRAMOF	ARAMF	ARAMOF	TFRF	TARF	Volume	BasalArea	Diameter	Height	Dominant	Site	Trainning
4.6	0.217391304	5670	3828.6	3521.7	297.9	9	0	0	0	0	0	0	0	0.927	24.3	19.656	21.33	4.608	23.589	0.207	1.962	-2.34	8.235	2.844	0.945	0.936	19.656	1.917	-0.972	0.72	0.09	-0.459	0.333	1.773	6.768	14.499	19.44	19.944	20.241	20.7	21.087	21.438	21.753	21.906	22.113	22.599	22.95	23.607	0.72	20.187	20.475	78.849	60.147	85.203	3506.4	3789	66.501	37.053	47.412	26.199	67.167	37.116	2957.4	1647.9	2987.1	1650.6	4002.3	5670	5670	3521.7	3521.7	0.99	24.3	20.394	21.339	3.51	13.662	0.153	1.701	-3.123	14.436	1.908	0.846	0.846	20.394	1.368	-0.63	0.549	0.063	-0.414	0.36	2.835	13.248	18.747	19.989	20.268	20.493	20.889	21.213	21.546	21.825	21.969	22.185	22.653	22.977	23.634	0.747	20.7	20.871	78.849	60.147	85.203	3506.4	3789	57.231	36.81	40.626	26.01	57.555	36.855	2545.2	1637.1	2559.6	1638.9	4002.3	5670	229.176	23.256	12.51	19.62	21.78	25.11	0.9
4.6	0.217391304	3968.1	3217.5	3014.1	198.9	4.5	0	0	0	0	0	0	0	0.9	25.686	21.348	22.536	3.987	17.703	0.171	1.971	-3.087	13.878	2.187	0.945	0.936	21.348	1.548	-0.738	0.621	0.063	-0.432	0.36	1.611	11.898	19.341	20.88	21.213	21.492	21.987	22.356	22.671	23.004	23.184	23.364	23.832	24.156	24.786	0.738	21.717	21.915	81.513	72.054	86.544	2992.5	3177	63.054	38.664	53.199	32.418	63.891	38.934	2314.8	1419.3	2345.4	1429.2	3303.9	3968.1	3968.1	3014.1	3014.1	0.9	25.686	21.753	22.536	3.294	12.033	0.135	1.791	-3.609	19.431	1.728	0.873	0.873	21.753	1.251	-0.54	0.486	0.054	-0.387	0.351	3.429	18.432	20.133	21.132	21.447	21.69	22.104	22.437	22.752	23.076	23.238	23.418	23.877	24.183	24.822	0.756	21.996	22.14	81.513	72.054	86.544	2992.5	3177	56.367	38.664	47.376	32.418	56.907	38.934	2069.1	1419.3	2088.9	1429.2	3303.9	3968.1	280.485	25.281	13.77	20.97	23.85	26.424	0.9
4.6	0.217391304	4494.6	3119.4	2946.6	167.4	5.4	0	0	0	0	0	0	0	0.909	24.318	19.62	21.348	5.04	28.269	0.234	1.638	-2.286	7.596	3.159	0.792	0.783	19.62	2.034	-1.125	0.81	0.09	-0.495	0.36	1.26	4.986	12.69	19.836	20.331	20.619	20.979	21.294	21.564	21.834	21.969	22.158	22.563	22.878	23.616	0.72	20.259	20.583	75.132	61.038	78.804	2906.1	3048.3	65.079	39.042	51.021	30.294	65.871	39.114	2517.3	1510.2	2547.9	1512.9	3481.2	4494.6	4494.6	2946.6	2946.6	0.927	24.318	20.142	21.348	4.347	21.015	0.198	1.467	-2.754	10.638	2.457	0.711	0.72	20.142	1.656	-0.909	0.729	0.072	-0.495	0.396	1.485	8.325	17.748	20.268	20.556	20.772	21.069	21.384	21.6	21.879	22.023	22.203	22.581	22.905	23.688	0.738	20.601	20.844	75.132	61.038	78.804	2906.1	3048.3	62.082	38.952	48.402	30.222	62.496	39.024	2401.2	1506.6	2417.4	1509.3	3481.2	4494.6	255.996	23.94	12.87	21.6	24.03	25.029	0.9
4.6	0.217391304	2950.2	1758.6	1685.7	72	0.9	0	0	0	0	0	0	0	0.945	25.029	20.817	21.213	3.933	17.19	0.171	2.295	-2.844	12.591	2.268	1.17	1.323	20.817	1.629	-0.711	0.585	0.072	-0.396	0.324	1.764	13.752	18.18	20.106	20.619	20.934	21.33	21.681	22.131	22.671	22.914	23.076	23.526	23.859	24.453	0.747	21.186	21.393	67.968	53.046	70.713	1671.3	1738.8	51.165	45.054	38.709	34.047	51.606	45.387	1258.2	1107.9	1269	1116	2213.1	2950.2	2950.2	1685.7	1685.7	0.945	25.029	21.114	21.213	3.501	13.599	0.153	2.16	-3.231	16.317	1.944	1.107	1.296	21.114	1.422	-0.576	0.495	0.063	-0.369	0.315	2.682	16.2	18.954	20.394	20.79	21.042	21.402	21.771	22.212	22.725	22.95	23.112	23.535	23.895	24.462	0.756	21.402	21.564	67.968	53.046	70.713	1671.3	1738.8	46.998	45.054	35.496	34.047	47.322	45.387	1155.6	1107.9	1163.7	1116	2213.1	2950.2	223.002	23.121	12.87	19.08	21.87	26.109	0.9
4.6	0.217391304	4835.7	3190.5	3024.9	158.4	7.2	0	0	0	0	0	0	0	0.909	23.778	18.918	20.151	4.401	21.555	0.207	1.89	-2.538	9.378	2.601	0.9	0.909	18.918	1.773	-0.9	0.711	0.081	-0.459	0.36	1.224	6.795	16.182	18.675	19.089	19.44	19.881	20.178	20.493	20.808	20.979	21.159	21.627	22.032	22.716	0.711	19.422	19.683	71.352	58.104	74.889	2974.5	3122.1	58.311	38.88	45.81	30.339	59.04	39.096	2430.9	1620.9	2461.5	1629.9	3752.1	4835.7	4835.7	3024.9	3024.9	0.909	23.778	19.269	20.151	3.924	17.127	0.18	1.719	-2.925	12.24	2.169	0.828	0.864	19.269	1.521	-0.747	0.639	0.072	-0.441	0.378	1.377	9.342	17.271	18.945	19.314	19.593	19.962	20.25	20.556	20.862	21.033	21.213	21.654	22.068	22.734	0.72	19.665	19.872	71.352	58.104	74.889	2974.5	3122.1	54.981	38.88	43.119	30.339	55.566	39.096	2292.3	1620.9	2316.6	1629.9	3752.1	4835.7	195.138	22.212	12.42	18.81	21.15	24.12	0.9
4.6	0.217391304	7362	6010.2	5572.8	424.8	12.6	0	0	0	0	0	0	0	0.909	26.379	20.574	22.743	6.201	42.786	0.27	2.25	-1.908	5.571	4.23	1.017	1.071	20.574	2.655	-1.422	0.873	0.117	-0.477	0.297	1.278	2.988	9.027	20.385	21.51	22.005	22.518	22.878	23.229	23.589	23.76	23.967	24.471	24.831	25.416	0.693	21.492	21.951	81.081	71.739	86.418	5505.3	5868	69.624	47.448	58.383	39.474	70.326	47.556	4727.7	3222	4775.4	3229.2	6111	7362	7362	5572.8	5572.8	0.909	26.379	21.474	22.743	5.121	29.133	0.216	1.809	-2.502	8.937	3.051	0.891	0.981	21.474	2.025	-1.098	0.828	0.081	-0.486	0.369	1.638	6.183	17.631	21.564	22.014	22.293	22.671	23.004	23.337	23.652	23.832	24.039	24.516	24.867	25.434	0.729	22.077	22.383	81.081	71.739	86.418	5505.3	5868	66.168	47.439	55.251	39.465	66.564	47.547	4492.8	3221.1	4519.8	3228.3	6111	7362	262.611	24.282	12.96	21.51	23.76	27.171	0.9
4.6	0.217391304	7384.5	5309.1	4857.3	438.3	13.5	0	0	0	0	0	0	0	0.918	23.355	19.269	19.791	3.636	14.661	0.171	2.187	-2.871	12.933	2.088	1.08	1.134	19.269	1.512	-0.63	0.54	0.072	-0.369	0.315	1.674	13.14	16.623	18.621	18.927	19.206	19.683	20.079	20.475	20.898	21.114	21.339	21.897	22.275	22.743	0.738	19.602	19.8	82.125	63.972	89.172	4833.9	5248.8	60.552	50.904	44.415	37.134	61.911	51.759	3564	2996.1	3644.1	3046.5	5297.4	7384.5	7384.5	4857.3	4857.3	0.918	23.355	19.782	19.791	2.727	8.244	0.126	1.998	-3.429	20.394	1.557	0.999	1.062	19.782	1.143	-0.369	0.36	0.054	-0.288	0.279	4.95	15.867	18.099	18.927	19.197	19.422	19.854	20.214	20.592	21.006	21.195	21.429	21.933	22.302	22.761	0.756	19.971	20.088	82.125	63.972	89.172	4833.9	5248.8	51.102	50.904	37.269	37.134	51.957	51.759	3007.8	2996.1	3058.2	3046.5	5297.4	7384.5	192.762	20.358	11.61	18.72	21.06	24.372	0.9
3.3	0.303030303	2426.4	1601.1	1437.3	161.1	2.7	0	0	0	0	0	0	0	0.918	20.61	17.217	18.108	2.394	6.354	0.126	2.259	-3.24	20.178	1.485	1.116	1.089	17.217	1.062	-0.252	0.243	0.054	-0.216	0.207	4.122	14.688	15.345	16.056	16.335	16.587	17.118	17.55	18.018	18.387	18.585	18.765	19.332	19.701	20.124	0.747	17.379	17.487	74.988	59.022	83.223	1433.7	1591.2	46.557	30.924	34.38	22.464	48.483	31.68	890.1	591.3	927	605.7	1720.8	2426.4	2426.4	1437.3	1437.3	0.999	20.61	17.46	18.117	1.971	4.311	0.099	2.151	-2.97	21.618	1.323	1.044	1.008	17.46	0.936	-0.171	0.171	0.045	-0.171	0.162	9.387	14.868	15.543	16.227	16.524	16.785	17.298	17.73	18.135	18.486	18.675	18.855	19.404	19.755	20.16	0.756	17.568	17.649	74.988	59.022	83.223	1433.7	1591.2	42.039	30.6	30.843	22.23	43.497	31.347	803.7	585	831.6	599.4	1720.8	2426.4	127.215	17.568	10.89	15.03	16.74	25.074	0.9
3.3	0.303030303	3159	2107.8	1809.9	287.1	10.8	0	0	0	0	0	0	0	0.909	20.628	16.533	16.875	2.43	6.552	0.135	2.043	-3.231	19.242	1.449	1.008	1.017	16.533	1.053	-0.27	0.288	0.054	-0.225	0.243	2.664	14.067	14.76	15.507	15.795	16.038	16.479	16.911	17.244	17.64	17.838	18.045	18.567	19.017	19.782	0.711	16.713	16.821	81	59.562	93.798	1805.4	2090.7	53.658	46.962	35.181	30.51	55.395	48.051	1196.1	1046.7	1234.8	1071	2006.1	3159	3159	1809.9	1809.9	0.972	20.628	16.929	16.884	1.773	3.51	0.09	1.827	-3.051	24.642	1.17	0.918	0.945	16.929	0.846	-0.135	0.171	0.045	-0.144	0.18	12.564	14.571	15.183	15.912	16.137	16.362	16.776	17.109	17.433	17.802	17.964	18.162	18.666	19.071	19.845	0.729	17.019	17.091	81	59.562	93.798	1805.4	2090.7	45.909	46.674	29.817	30.33	46.962	47.763	1023.3	1040.4	1046.7	1064.7	2006.1	3159	125.685	16.596	11.07	15.48	17.19	24.21	0.9
3.4	0.294117647	3857.4	2583	2314.8	256.5	11.7	0	0	0	0	0	0	0	0.936	21.618	18.306	18.666	3.177	11.241	0.153	1.827	-3.24	15.3	1.701	0.9	0.954	18.306	1.233	-0.531	0.468	0.063	-0.387	0.342	2.754	12.51	17.01	17.757	17.982	18.189	18.648	18.981	19.314	19.638	19.809	19.989	20.385	20.7	21.159	0.756	18.576	18.729	81.099	59.931	90.126	2311.2	2568.6	59.652	52.992	40.842	35.991	61.425	54.126	1700.1	1510.2	1750.5	1542.6	2565	3857.4	3857.4	2314.8	2314.8	0.936	21.618	18.756	19.323	2.34	6.075	0.108	1.674	-4.023	25.425	1.251	0.819	0.783	18.756	0.918	-0.306	0.288	0.045	-0.297	0.288	4.995	16.821	17.406	17.991	18.234	18.468	18.801	19.143	19.44	19.737	19.899	20.061	20.43	20.745	21.168	0.774	18.9	18.99	81.099	59.931	90.126	2311.2	2568.6	49.986	35.838	33.867	23.94	50.94	36	1424.7	1021.5	1451.7	1026	2565	3857.4	185.733	19.053	11.7	18.27	19.62	25.929	0.9
3.5	0.285714286	3940.2	2661.3	2495.7	163.8	1.8	0	0	0	0	0	0	0	0.909	22.563	18.702	19.476	3.123	10.863	0.153	1.971	-3.132	14.994	1.737	0.972	0.963	18.702	1.26	-0.522	0.45	0.063	-0.378	0.324	3.069	13.716	17.19	17.991	18.288	18.522	19.008	19.377	19.746	20.088	20.259	20.448	20.826	21.105	21.672	0.738	18.963	19.116	79.182	60.498	84.222	2490.3	2648.7	55.656	40.374	40.5	29.088	56.376	40.491	1750.5	1269.9	1773	1273.5	2830.5	3940.2	3940.2	2495.7	2495.7	0.909	22.563	19.044	19.476	2.484	6.858	0.117	1.845	-3.672	22.068	1.395	0.909	0.918	19.044	1.008	-0.342	0.315	0.045	-0.306	0.279	5.922	16.803	17.505	18.207	18.468	18.702	19.161	19.503	19.827	20.151	20.313	20.493	20.862	21.132	21.69	0.756	19.206	19.305	79.182	60.498	84.222	2490.3	2648.7	49.797	40.374	36.036	29.088	50.166	40.491	1566	1269.9	1577.7	1273.5	2830.5	3940.2	195.777	21.123	11.79	18.63	20.16	26.028	0.9
3.5	0.285714286	4754.7	2932.2	2696.4	231.3	4.5	0	0	0	0	0	0	0	0.909	20.682	16.803	18.486	3.726	15.408	0.198	2.196	-2.475	9.36	2.232	1.062	0.999	16.803	1.575	-0.72	0.54	0.081	-0.414	0.315	1.539	6.138	14.571	16.191	16.569	16.875	17.37	17.811	18.216	18.594	18.765	18.954	19.359	19.647	20.16	0.72	17.208	17.433	72.621	54.774	78.48	2677.5	2893.5	55.098	26.091	39.456	18.315	56.538	26.244	2031.3	962.1	2084.4	967.5	3318.3	4754.7	4754.7	2696.4	2696.4	0.927	20.682	17.253	18.495	3.069	10.44	0.162	2.025	-3.006	14.022	1.755	0.972	0.909	17.253	1.26	-0.522	0.432	0.063	-0.369	0.306	2.277	11.529	15.507	16.524	16.821	17.109	17.577	17.946	18.333	18.675	18.846	19.017	19.395	19.674	20.169	0.747	17.523	17.676	72.621	54.774	78.48	2677.5	2893.5	48.969	26.046	34.803	18.279	49.869	26.19	1805.4	960.3	1838.7	965.7	3318.3	4754.7	188.883	21.204	11.61	17.82	18.9	24.228	0.9
3.5	0.285714286	2898	1765.8	1547.1	207.9	9.9	0.9	0	0	0	0	0	0	0.936	18.612	14.355	16.371	4.095	18.666	0.261	2.241	-1.701	4.788	2.844	1.008	0.972	14.355	1.872	-0.864	0.513	0.117	-0.414	0.243	1.899	4.221	5.643	13.932	14.445	14.877	15.381	15.804	16.191	16.524	16.686	16.866	17.307	17.604	18.072	0.684	14.931	15.264	71.496	54.36	81.423	1537.2	1750.5	59.823	28.467	41.841	19.116	62.667	28.629	1286.1	612	1347.3	615.6	1935	2898	2898	1547.1	1547.1	0.999	18.612	15.039	16.38	3.429	13.077	0.207	1.791	-2.313	8.037	2.079	0.864	0.846	15.039	1.449	-0.684	0.513	0.09	-0.423	0.315	2.052	5.112	13.23	14.598	14.976	15.246	15.669	16.038	16.353	16.641	16.776	16.974	17.379	17.658	18.09	0.72	15.426	15.651	71.496	54.36	81.423	1537.2	1750.5	53.496	28.377	37.008	19.062	55.422	28.548	1150.2	610.2	1191.6	613.8	1935	2898	105.525	14.958	9.54	14.49	16.11	21.744	0.9
3.5	0.285714286	2836.8	2133.9	1923.3	207	3.6	0	0	0	0	0	0	0	0.9	23.157	19.476	19.971	2.556	7.272	0.117	1.98	-4.068	26.631	1.413	0.963	0.963	19.476	1.017	-0.297	0.288	0.045	-0.261	0.261	3.96	17.244	17.829	18.486	18.774	19.026	19.467	19.899	20.241	20.583	20.754	20.943	21.393	21.699	22.41	0.747	19.647	19.746	83.313	67.329	92.151	1918.8	2122.2	53.577	43.218	40.347	32.292	55.215	44.199	1233.9	995.4	1271.7	1017.9	2072.7	2836.8	2836.8	1923.3	1923.3	0.9	23.157	19.737	19.971	2.106	4.905	0.099	1.827	-4.392	34.704	1.215	0.9	0.909	19.737	0.873	-0.207	0.207	0.036	-0.207	0.216	7.695	17.505	18.09	18.765	19.017	19.224	19.665	20.034	20.358	20.682	20.844	21.006	21.447	21.762	22.437	0.765	19.854	19.926	83.313	67.329	92.151	1918.8	2122.2	48.807	43.218	36.576	32.292	50.058	44.199	1124.1	995.4	1152.9	1017.9	2072.7	2836.8	190.521	21.132	12.42	18.36	19.71	26.802	0.9
2.2	0.454545455	4077.9	3210.3	2710.8	486.9	11.7	0.9	0	0	0	0	0	0	0.918	16.803	12.663	13.275	2.133	5.058	0.153	2.268	-1.665	8.091	1.521	1.125	1.062	12.663	1.089	-0.225	0.216	0.081	-0.189	0.18	3.708	9.216	10.314	11.313	11.772	12.123	12.6	13.023	13.437	13.842	14.031	14.265	14.787	15.246	15.966	0.666	12.843	12.978	84.996	70.632	100.449	2708.1	3200.4	55.845	43.02	41.418	31.32	58.896	44.55	1779.3	1370.7	1876.5	1419.3	2867.4	4077.9	4077.9	2710.8	2710.8	0.918	16.803	13.005	13.275	1.845	3.798	0.126	1.989	-1.62	8.865	1.332	0.981	0.99	13.005	0.954	-0.18	0.18	0.063	-0.171	0.171	6.165	9.918	10.755	11.871	12.213	12.447	12.906	13.284	13.644	13.995	14.202	14.391	14.913	15.327	16.038	0.684	13.131	13.239	84.996	70.632	100.449	2708.1	3200.4	48.726	43.02	35.775	31.32	50.877	44.55	1552.5	1370.7	1620.9	1419.3	2867.4	4077.9	54.999	8.244	8.37	11.88	12.87	25.362	0.9
2.2	0.454545455	2444.4	1792.8	1560.6	228.6	3.6	0	0	0	0	0	0	0	0.918	18.576	14.391	15.21	1.809	3.654	0.117	2.331	-1.359	9.36	1.377	1.143	1.125	14.391	0.972	-0.117	0.126	0.063	-0.108	0.117	10.224	11.511	12.141	12.951	13.302	13.644	14.166	14.598	15.021	15.426	15.633	15.885	16.443	16.785	17.595	0.684	14.508	14.598	81.315	65.943	93.429	1558.8	1791	49.482	33.615	36.054	24.156	51.084	34.227	948.6	644.4	979.2	656.1	1725.3	2444.4	2444.4	1560.6	1560.6	0.918	18.576	14.652	15.21	1.665	3.087	0.099	2.043	-1.413	10.35	1.26	1.026	1.017	14.652	0.891	-0.108	0.126	0.054	-0.108	0.126	10.629	11.844	12.501	13.401	13.752	14.004	14.418	14.832	15.264	15.579	15.795	16.029	16.542	16.884	17.613	0.702	14.742	14.823	81.315	65.943	93.429	1558.8	1791	44.973	33.615	32.508	24.156	46.053	34.227	862.2	644.4	882.9	656.1	1725.3	2444.4	78.993	10.755	9.09	13.32	14.49	27.936	0.9
2.2	0.454545455	5229	3996	3447.9	541.8	6.3	0	0	0	0	0	0	0	0.963	17.136	12.969	12.519	1.701	3.222	0.117	2.16	-1.215	8.019	1.287	1.08	1.188	12.969	0.909	-0.09	0.126	0.063	-0.09	0.126	8.739	10.251	10.998	11.745	11.997	12.222	12.645	13.086	13.536	13.959	14.157	14.391	14.94	15.336	16.002	0.666	13.086	13.176	85.959	68.76	99.603	3447.9	3995.1	50.445	60.381	36.126	43.776	52.326	63.414	2023.2	2421.9	2098.8	2543.4	3609.9	5229	5229	3447.9	3447.9	2.439	17.136	13.23	13.869	1.503	2.502	0.099	2.007	-0.9	6.606	1.17	0.999	1.035	13.23	0.819	-0.063	0.099	0.054	-0.072	0.108	9.45	10.782	11.439	12.06	12.294	12.528	12.915	13.329	13.734	14.103	14.301	14.517	15.039	15.408	16.038	0.657	13.32	13.392	85.959	68.76	99.603	3447.9	3995.1	45.081	31.185	32.085	21.933	46.467	31.77	1808.1	1251	1863.9	1274.4	3609.9	5229	52.659	8.703	8.37	11.25	12.51	25.497	0.9
2.2	0.454545455	5274	3961.8	3339.9	607.5	13.5	0.9	0	0	0	0	0	0	1.152	15.435	11.304	12.033	1.998	4.428	0.162	2.394	-1.152	5.967	1.503	1.179	1.161	11.304	1.071	-0.162	0.171	0.081	-0.135	0.144	3.69	7.992	8.829	9.855	10.26	10.575	11.124	11.583	12.015	12.429	12.663	12.879	13.509	14.022	14.679	0.639	11.475	11.619	83.862	67.32	99.216	3334.5	3944.7	53.145	38.277	37.809	26.676	55.728	39.321	2113.2	1521.9	2215.8	1563.3	3578.4	5274	5274	3339.9	3339.9	1.35	15.435	11.646	11.628	1.746	3.384	0.135	2.115	-0.999	5.751	1.323	1.035	1.098	11.646	0.945	-0.117	0.144	0.072	-0.117	0.135	6.912	8.595	9.405	10.377	10.71	10.971	11.439	11.853	12.231	12.636	12.825	13.068	13.662	14.112	14.769	0.657	11.781	11.889	83.862	67.32	99.216	3334.5	3944.7	46.584	47.016	32.715	33.066	48.213	48.735	1852.2	1869.3	1917	1937.7	3578.4	5274	32.904	6.588	8.1	10.08	11.7	23.355	0.9
2.2	0.454545455	4674.6	3896.1	3240	642.6	13.5	0	0	0	0	0	0	0	0.999	16.803	12.726	13.041	1.818	3.69	0.126	2.205	-1.449	8.748	1.35	1.107	1.089	12.726	0.954	-0.126	0.153	0.072	-0.117	0.144	7.398	9.9	10.629	11.466	11.745	12.015	12.474	12.915	13.329	13.716	13.95	14.184	14.733	15.192	15.84	0.666	12.852	12.96	87.309	74.889	104.85	3239.1	3889.8	54.342	47.889	40.635	35.469	56.889	49.662	2016	1776.6	2110.5	1842.3	3339	4674.6	4674.6	3240	3240	1.395	16.803	13.068	13.383	1.521	2.583	0.108	1.98	-0.936	6.399	1.179	0.972	0.972	13.068	0.828	-0.081	0.117	0.054	-0.09	0.126	9.018	10.566	11.169	11.898	12.168	12.402	12.825	13.212	13.563	13.932	14.148	14.337	14.85	15.309	15.903	0.684	13.158	13.239	87.309	74.889	104.85	3239.1	3889.8	47.16	39.762	34.848	29.196	48.78	40.878	1749.6	1475.1	1809.9	1516.5	3339	4674.6	44.703	7.29	8.28	11.79	12.33	25.335	0.9
2.2	0.454545455	6984	5310.9	4647.6	648	15.3	0	0	0	0	0	0	0	0.954	17.289	13.23	12.879	1.962	4.284	0.135	2.187	-1.629	9.477	1.395	1.089	1.179	13.23	1.008	-0.135	0.189	0.072	-0.126	0.171	4.239	10.305	11.142	12.042	12.33	12.555	12.987	13.383	13.797	14.256	14.517	14.778	15.399	15.876	16.56	0.675	13.383	13.491	84.366	68.382	96.318	4647.6	5306.4	50.319	58.113	36.765	42.939	51.786	60.48	2772	3201.3	2853	3331.8	4958.1	6984	6984	4647.6	4647.6	1.971	17.289	13.518	12.915	1.701	3.222	0.117	2.052	-1.359	9.198	1.251	1.017	1.143	13.518	0.9	-0.081	0.144	0.063	-0.09	0.144	8.802	10.917	11.619	12.375	12.609	12.825	13.212	13.59	13.986	14.418	14.652	14.895	15.507	15.939	16.605	0.675	13.626	13.716	84.366	68.382	96.318	4647.6	5306.4	43.704	57.51	31.77	42.462	44.748	59.805	2407.5	3168	2465.1	3294.9	4958.1	6984	53.046	8.379	10.08	12.42	12.69	26.379	0.9
2.2	0.454545455	7663.5	5338.8	4681.8	639	18	0	0	0	0	0	0	0	0.945	15.408	11.106	11.736	2.115	4.968	0.171	2.502	-1.233	5.796	1.584	1.215	1.215	11.106	1.125	-0.198	0.189	0.09	-0.162	0.153	2.655	7.506	8.478	9.612	10.008	10.359	10.971	11.484	11.862	12.285	12.51	12.807	13.419	13.833	14.481	0.63	11.304	11.457	80.496	62.406	91.647	4667.4	5313.6	51.21	39.285	36.243	27.441	53.226	40.293	2969.1	2277.9	3086.1	2336.4	5218.2	7663.5	7663.5	4681.8	4681.8	1.026	15.408	11.376	11.754	1.935	4.149	0.153	2.313	-1.251	6.309	1.44	1.134	1.134	11.376	1.026	-0.171	0.171	0.081	-0.153	0.153	4.068	8.01	8.991	9.999	10.368	10.701	11.277	11.682	12.033	12.438	12.681	12.942	13.509	13.887	14.526	0.648	11.538	11.664	80.496	62.406	91.647	4667.4	5313.6	46.71	38.7	32.85	27.009	48.24	39.663	2708.1	2243.7	2797.2	2299.5	5218.2	7663.5	38.286	7.191	7.56	10.26	11.79	22.977	0.9
2.2	0.454545455	6793.2	5374.8	4510.8	834.3	28.8	0.9	0	0	0	0	0	0	0.945	15.93	11.439	11.646	2.088	4.86	0.162	2.565	-1.107	5.58	1.584	1.278	1.287	11.439	1.116	-0.162	0.171	0.09	-0.135	0.135	3.519	8.064	8.919	9.945	10.341	10.647	11.205	11.691	12.159	12.654	12.906	13.176	13.779	14.211	14.949	0.63	11.628	11.781	85.653	70.983	101.898	4503.6	5357.7	53.613	49.608	39.501	36.306	56.709	52.119	2818.8	2608.2	2981.7	2740.5	4732.2	6793.2	6793.2	4510.8	4510.8	0.945	15.93	11.79	11.646	1.845	3.78	0.144	2.358	-0.99	5.499	1.422	1.179	1.224	11.79	0.999	-0.126	0.144	0.072	-0.117	0.126	6.615	8.604	9.432	10.422	10.746	11.043	11.556	11.988	12.429	12.879	13.104	13.338	13.887	14.292	15.003	0.648	11.934	12.051	85.653	70.983	101.898	4503.6	5357.7	46.881	49.608	34.164	36.306	49.041	52.119	2465.1	2608.2	2578.5	2740.5	4732.2	6793.2	30.483	7.272	7.47	10.17	11.61	23.652	0.9
2.2	0.454545455	5550.3	4180.5	3480.3	683.1	17.1	0	0	0	0	0	0	0	0.999	16.326	11.673	12.186	2.133	5.058	0.162	2.475	-1.431	7.317	1.566	1.206	1.206	11.673	1.116	-0.189	0.198	0.09	-0.153	0.162	2.196	8.226	9.261	10.278	10.62	10.926	11.475	11.997	12.42	12.843	13.095	13.338	13.959	14.391	15.228	0.63	11.871	12.015	83.376	67.23	100.08	3454.2	4146.3	53.748	44.334	38.205	31.086	56.871	46.269	2226.6	1836.9	2356.2	1917	3728.7	5550.3	5550.3	3480.3	3480.3	0.999	16.326	11.988	12.186	1.998	4.437	0.153	2.223	-1.629	8.793	1.431	1.089	1.107	11.988	1.026	-0.18	0.198	0.081	-0.162	0.171	2.574	8.739	9.738	10.755	11.052	11.367	11.88	12.276	12.627	13.068	13.275	13.518	14.085	14.499	15.264	0.648	12.159	12.285	83.376	67.23	100.08	3454.2	4146.3	48.186	44.334	33.93	31.086	50.508	46.269	1996.2	1836.9	2092.5	1917	3728.7	5550.3	41.616	7.38	8.1	10.53	11.79	23.994	0.9
2.2	0.454545455	3308.4	2255.4	1806.3	431.1	17.1	0.9	0	0	0	0	0	0	0.927	15.039	9.963	11.232	2.61	7.587	0.234	2.898	-1.224	4.68	1.935	1.395	1.368	9.963	1.377	-0.306	0.252	0.126	-0.198	0.171	1.224	3.834	6.894	8.361	8.811	9.261	9.891	10.476	11.025	11.475	11.709	11.979	12.627	13.14	13.968	0.576	10.296	10.53	79.272	60.084	98.595	1775.7	2208.6	54.324	34.47	35.964	21.933	59.022	36	1216.8	772.2	1322.1	806.4	2016	3308.4	3308.4	1806.3	1806.3	0.927	15.039	10.413	11.457	2.412	6.453	0.207	2.475	-1.458	5.913	1.737	1.224	1.17	10.413	1.233	-0.288	0.261	0.108	-0.207	0.189	1.395	6.138	7.749	9.018	9.477	9.756	10.395	10.908	11.34	11.727	11.961	12.195	12.816	13.293	14.04	0.603	10.683	10.872	79.272	60.084	98.595	1775.7	2208.6	48.177	29.736	31.239	18.783	51.264	30.816	1079.1	666	1148.4	690.3	2016	3308.4	38.097	6.309	7.74	9.99	11.25	21.996	0.9
