arvore,dap,alt,vert
1,27.1,19.83,C
2,9.9,14.36,S
3,12,19.53,C
4,42.7,25.65,E
5,14.8,16.24,C
6,14.4,19.32,C
7,13.7,13.61,S
8,11.5,9.08,S
9,12.1,19.81,C
10,17.8,24.08,C
11,25.3,24.63,E
12,27,29.61,E
13,33.1,5.94,S
14,10.6,20.16,S
15,82.3,37.3,E
16,10.2,15.3,S
17,10.9,19.98,S
18,62,40.01,E
19,14.2,20.64,C
20,50.4,15.2,C
21,19.1,16.32,C
22,36.5,32.2,E
23,18.4,22.41,C
24,6,9.23,S
25,6.9,9.6,S
26,16.5,1.35,S
27,9.9,15.93,S
28,58.9,36.94,E
29,30.9,26.78,E
30,18.3,31.1,C
31,12.8,14.99,S
32,58.2,26.97,E
33,10.7,22.16,C
34,78.1,49.13,E
35,11.3,14.11,S
36,21.3,21.79,C
37,11.1,20.7,S
38,7.4,10.6,S
39,28.7,24.18,E
40,15.8,17.85,S
41,6.6,11.62,S
42,54.1,33.28,E
43,11.7,14.69,S
44,30.5,36.17,E
45,60.2,35.07,E
46,25.1,22.77,C
47,27.2,20.44,C
48,7.2,13.37,S
49,8.4,15.49,S
50,38.5,30.28,C
51,7.4,14.63,S
52,37.3,26.02,C
53,21.6,18.71,S
54,5.8,12.13,S
55,18.7,19.98,C
56,8.2,12.02,S
57,82,39.26,E
58,9.2,9.79,S
59,9.5,13.04,S
60,8.5,14.78,S
61,11.3,15.83,S
62,23.3,15.44,S
63,12.6,14.88,C
64,10.8,16.99,S
65,14.2,17.41,C