parcela,arvore,comum,cientifico,familia,dap2014,medicao
T16,63,breu barrote,Tetragastris panamensis,Burseraceae,51,20140220
T16,64,guajara,Pouteria sp.,Sapotaceae,50.2,20140220
T16,65,axixa,Sterculia pruriens,Malvaceae,66.9,20140220
T16,69,pau santo,Zollernia paraensis,Fabaceae,39.9,20140220
T16,70,morta,NA,NA,69,20140220
T16,71,breu barrote,Tetragastris panamensis,Burseraceae,60.4,20140220
T16,74,tento,Ormosia coccinea,Fabaceae,68.9,20140220
T16,75,louro-pimenta,Ocotea canaliculata,Lauraceae,48.3,20140220
T16,77,goiabao,Pradosia cochlearia,Sapotaceae,36.6,20140220
T16,79,abiurana,Pouteria gongrijpii,Sapotaceae,37.9,20140220
T16,80,morta,NA,NA,40,20140220
T16,81,matamata branco,Eschweilera coriacea,Lecythidaceae,38.9,20140220
T16,82,cucutitiriba,Pouteria sp.,Sapotaceae,37.1,20140220
T16,83,morta,NA,NA,68.3,20140220
T16,85,abiurana branca,Pouteria guianensis,Sapotaceae,55.1,20140220
T16,88,freijo cinza,Cordia goeldiana,Boraginaceae,49.5,20140220
T16,91,matamata branco,Eschweilera coriacea,Lecythidaceae,46.5,20140220
T16,94,fava-atana,Parkia gigantocarpa,Fabaceae,41,20140220
T16,99,ingarana,Inga sp.,Fabaceae,46.8,20140220
T16,102,goiabao,Pradosia cochlearia,Sapotaceae,46.7,20140220
T16,105,macaranduba,Manilkara huberi,Sapotaceae,57.7,20140220
T16,108,breu barrote,Tetragastris panamensis,Burseraceae,57,20140220
T16,109,ucuuba,Virola michelii,Myristicaceae,43,20140220
T16,111,matamata branco,Eschweilera coriacea,Lecythidaceae,40.4,20140220
T16,113,timborana,Pseudopiptadenia suaveolens,Fabaceae,71,20140220
T16,121,matamata preto,Eschweilera ovata,Lecythidaceae,40.8,20140220
T17,7,piquia,Caryocar villosum,Caryocaraceae,35.8,20140221
T17,9,tauari,Couratari stellata,Lecythidaceae,35.4,20140221
T17,10,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,38.8,20140221
T17,12,abiu cutite,NA,NA,44.8,20140221
T17,13,piquia,Caryocar villosum,Caryocaraceae,185,20140221
T17,14,matamata branco,Eschweilera coriacea,Lecythidaceae,46,20140221
T17,18,seringueira,Hevea brasiliensis,Euphorbiaceae,42.5,20140221
T17,19,inga branco,Inga thibaudiana,Fabaceae,38.7,20140221
T17,21,ucuuba,Virola michelii,Myristicaceae,40,20140221
T17,25,abiurana,Pouteria gongrijpii,Sapotaceae,39.2,20140221
T17,26,carapanauba,Aspidosperma excelsum,Apocynaceae,124.8,20140221
T17,27,morta,NA,NA,49.7,20140221
T17,28,jarana,Lecythis lurida,Lecythidaceae,56,20140221
T17,33,mapatirana,Pourouma villosa,Urticaceae,49.1,20140221
T17,34,goiabao,Pradosia cochlearia,Sapotaceae,47.7,20140221
T17,35,jarana,Lecythis lurida,Lecythidaceae,39.5,20140221
T17,37,pau-jacare,Laetia procera,Salicaceae,42.5,20140221
T17,38,maria preta,Ziziphus sp.,Rhamnaceae,42.3,20140221
T17,42,inga branco,Inga thibaudiana,Fabaceae,46.5,20140221
T17,46,macaranduba,Manilkara huberi,Sapotaceae,43.8,20140221
T17,50,pau-jacare,Laetia procera,Salicaceae,55.3,20140221
T17,51,envira preta,Guatteria schomburgkiana,Annonaceae,45.5,20140221
T17,56,timborana,Pseudopiptadenia suaveolens,Fabaceae,41,20140221
T17,58,araracanga,Aspidosperma spruceanum,Apocynaceae,48.7,20140221
T17,62,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,70.9,20140221
T17,63,matamata preto,Eschweilera ovata,Lecythidaceae,36.3,20140221
T17,65,guajara branco,Pouteria sp.,Sapotaceae,46,20140221
T17,69,mututi,Pterocarpus sp.,Fabaceae,51,20140221
T17,76,carapanauba,Aspidosperma excelsum,Apocynaceae,64.3,20140221
T17,79,mapatirana,Pourouma minor,Urticaceae,45.6,20140221
T17,80,inga branco,Inga thibaudiana,Fabaceae,37.5,20140221
T17,81,freijo cinza,Cordia goeldiana,Boraginaceae,46.5,20140221
T17,82,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,55.2,20140221
T17,84,seringueira,Hevea brasiliensis,Euphorbiaceae,36.8,20140221
T17,87,abiu rosadinho,Pouteria reticulata,Sapotaceae,38.7,20140221
T17,90,tatapiririca,Tapirira guianensis,Anacardiaceae,40,20140221
T17,92,tachi vermelho,Tachigali paniculata,Fabaceae,72,20140221
T17,95,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,45.2,20140221
T17,96,jarana,Lecythis lurida,Lecythidaceae,90.3,20140221
T17,99,jatereu,Lecythis idatimon,Lecythidaceae,37.7,20140221
T18,5,copaiba,Copaifera reticulata,Fabaceae,54.7,20140221
T18,9,parajuba,Manilkara bidentata,Sapotaceae,53.6,20140221
T18,10,envira-cunauaru,Annona ambotay,Annonaceae,40.1,20140221
T18,11,inhare,Helicostylis sp.,Moraceae,57.8,20140221
T18,15,matamata-jiboia,Eschweilera sp.,Lecythidaceae,38.4,20140221
T18,16,inga vermelho,Inga alba,Fabaceae,40.2,20140221
T18,17,parapara,Jacaranda copaia,Bignoniaceae,41.8,20140221
T18,20,tachi preto,Tachigali myrmecophila,Fabaceae,50.4,20140221
T18,21,seringueira,Hevea brasiliensis,Euphorbiaceae,35.6,20140221
T18,22,morototo,Schefflera morototoni,Araliaceae,36.7,20140221
T18,26,mato,NA,NA,35.2,20140221
T18,27,mapatirana,Pourouma villosa,Urticaceae,41.6,20140221
T18,28,tachi branco,Tachigali paniculata,Fabaceae,52.8,20140221
T18,29,matamata branco,Eschweilera coriacea,Lecythidaceae,50.4,20140221
T18,30,embauba branca,Cecropia palmata,Urticaceae,41.5,20140221
T18,31,mapatirana,Pourouma minor,Urticaceae,42.5,20140221
T18,33,copaiba,Copaifera reticulata,Fabaceae,74.5,20140221
T18,37,macaranduba,Manilkara huberi,Sapotaceae,90.2,20140221
T18,39,seringueira,Hevea brasiliensis,Euphorbiaceae,60.8,20140221
T18,41,matamata branco,Eschweilera coriacea,Lecythidaceae,43.8,20140221
T18,42,jarana,Lecythis lurida,Lecythidaceae,55.4,20140221
T18,43,abiurana,Pouteria gongrijpii,Sapotaceae,39.7,20140221
T18,44,caramuxi,Pouteria hispida,Sapotaceae,40,20140221
T18,45,embauba branca,Cecropia palmata,Urticaceae,40.5,20140221
T18,47,breu barrote,Tetragastris panamensis,Burseraceae,60,20140221
T18,53,axixa,Sterculia pruriens,Malvaceae,41.9,20140221
T18,54,roxinho,Peltogyne lecointei,Fabaceae,55,20140221
T18,56,breu vermelho,Protium hebetatum,Burseraceae,44.9,20140221
T18,58,parajuba,Manilkara bidentata,Sapotaceae,76.5,20140221
T18,59,embauba branca,Cecropia palmata,Urticaceae,39,20140221
T18,62,breu barrote,Tetragastris panamensis,Burseraceae,73.3,20140221
T18,63,matamata branco,Eschweilera coriacea,Lecythidaceae,54.6,20140221
T18,65,abiu cramuri,NA,NA,59,20140221
T18,66,caferana,Quiina florida,Ochnaceae,36,20140221
T18,68,breu barrote,Tetragastris panamensis,Burseraceae,60,20140221
T18,69,matamata branco,Eschweilera coriacea,Lecythidaceae,70,20140221
T18,70,tachi preto,Tachigali myrmecophila,Fabaceae,39.4,20140221
T18,71,abiu canelado,Micropholis crassipedicellata,Sapotaceae,62.5,20140221
T18,77,abiurana,Pouteria gongrijpii,Sapotaceae,63.1,20140221
T18,78,tachirana,Stryphnodendron paniculatum,Fabaceae,38.9,20140221
T18,79,matamata branco,Eschweilera coriacea,Lecythidaceae,50.3,20140221
T18,81,tachirana,Stryphnodendron paniculatum,Fabaceae,72,20140221
T18,83,abiurana,Pouteria gongrijpii,Sapotaceae,36.7,20140221
T18,84,pau-jacare,Laetia procera,Salicaceae,50.5,20140221
T18,86,matamata branco,Eschweilera coriacea,Lecythidaceae,37.5,20140221
T18,88,freijo branco,Cordia scabrifolia,Boraginaceae,36.3,20140221
T18,92,freijo branco,Cordia scabrifolia,Boraginaceae,40.5,20140221
T18,96,tachi branco,Tachigali paniculata,Fabaceae,79,20140221
T18,97,goiabao,Pradosia cochlearia,Sapotaceae,41.6,20140221
T18,107,matamata branco,Eschweilera coriacea,Lecythidaceae,38.9,20140221
T18,109,matamata branco,Eschweilera coriacea,Lecythidaceae,38.8,20140221
T18,110,tauari,Couratari stellata,Lecythidaceae,68,20140221
T18,112,louro preto,Ocotea cernua,Lauraceae,50.5,20140221
T18,113,matamata branco,Eschweilera coriacea,Lecythidaceae,44.2,20140221
T18,115,matamata branco,Eschweilera coriacea,Lecythidaceae,39.2,20140221
T18,121,abiurana,Pouteria gongrijpii,Sapotaceae,40.6,20140221
T19,1,macaranduba,Manilkara huberi,Sapotaceae,69.7,20140319
T19,3,fava-saboeiro,Abarema jupunba,Fabaceae,57,20140319
T19,6,breu barrote,Tetragastris panamensis,Burseraceae,38,20140319
T19,8,macucu,Licania guianensis,Chrysobalanaceae,52.3,20140319
T19,10,macaranduba,Manilkara huberi,Sapotaceae,53,20140319
T19,14,breu vermelho,Protium hebetatum,Burseraceae,47.2,20140319
T19,15,tachi preto,Tachigali myrmecophila,Fabaceae,38.9,20140319
T19,20,morta,NA,NA,54,20140319
T19,24,tachi branco,Tachigali paniculata,Fabaceae,48.9,20140319
T19,27,abiurana branca,Pouteria guianensis,Sapotaceae,44.1,20140319
T19,29,breu barrote,Tetragastris panamensis,Burseraceae,55.6,20140319
T19,32,uxi,Endopleura uchi,Humiriaceae,62.2,20140319
T19,34,roxinho,Peltogyne lecointei,Fabaceae,47,20140319
T19,36,abiurana,Pouteria gongrijpii,Sapotaceae,37,20140319
T19,37,maria preta,Ziziphus sp.,Rhamnaceae,49.7,20140319
T19,39,morta,NA,NA,111,20140319
T19,40,abiurana,Pouteria gongrijpii,Sapotaceae,49.8,20140319
T19,41,breu barrote,Tetragastris panamensis,Burseraceae,47,20140319
T19,47,morta,NA,NA,110,20140319
T19,49,caramuxi,Pouteria hispida,Sapotaceae,56.9,20140319
T19,50,abiurana,Pouteria gongrijpii,Sapotaceae,39.7,20140319
T19,51,guajara cinza,Pouteria sp.,Sapotaceae,45.1,20140319
T19,54,parajuba,Manilkara bidentata,Sapotaceae,48.8,20140319
T19,56,breu barrote,Tetragastris panamensis,Burseraceae,56.1,20140319
T19,57,seringarana,Micrandra minor,Euphorbiaceae,68.7,20140319
T19,58,breu barrote,Tetragastris panamensis,Burseraceae,38,20140319
T19,59,louro-abacate,Ocotea glomerata,Lauraceae,36.2,20140319
T19,60,parapara,Jacaranda copaia,Bignoniaceae,47.7,20140319
T19,61,parajuba,Manilkara bidentata,Sapotaceae,47.2,20140319
T19,67,goiabao,Pradosia cochlearia,Sapotaceae,36.9,20140319
T19,68,morta,NA,NA,40.5,20140319
T19,69,freijo branco,Cordia scabrifolia,Boraginaceae,41.7,20140319
T19,74,uxi,Endopleura uchi,Humiriaceae,57,20140319
T19,76,abiurana,Pouteria gongrijpii,Sapotaceae,35.2,20140319
T19,77,breu barrote,Tetragastris panamensis,Burseraceae,50,20140319
T19,78,abiurana branca,Pouteria guianensis,Sapotaceae,48.2,20140319
T19,81,fava-paricana,Dimorphandra macrostachya,Fabaceae,57,20140319
T19,85,breu barrote,Tetragastris panamensis,Burseraceae,54.4,20140319
T19,87,macaranduba,Manilkara huberi,Sapotaceae,47.7,20140319
T19,90,caramuxi,Pouteria hispida,Sapotaceae,37.7,20140319
T19,92,breu barrote,Tetragastris panamensis,Burseraceae,41,20140319
T19,93,breu barrote,Tetragastris panamensis,Burseraceae,41.1,20140319
T19,96,tachi preto,Tachigali myrmecophila,Fabaceae,59.8,20140319
T19,99,pau-jacare,Laetia procera,Salicaceae,38,20140319
T19,100,abiurana,Pouteria gongrijpii,Sapotaceae,73,20140319
T19,101,uxi,Endopleura uchi,Humiriaceae,39.6,20140319
T19,106,macaranduba,Manilkara huberi,Sapotaceae,95.6,20140319
T19,107,ripeira,Eschweilera micrantha,Lecythidaceae,46.9,20140319
T19,108,matamata preto,Eschweilera ovata,Lecythidaceae,44.3,20140319
T19,109,guajara,Pouteria sp.,Sapotaceae,51,20140319
T19,114,envira preta,Guatteria schomburgkiana,Annonaceae,41.9,20140319
T19,115,uxirana,Sacoglottis guianensis,Humiriaceae,35.8,20140319
T20,3,caramuxi,Pouteria hispida,Sapotaceae,49.2,20140227
T20,5,breu barrote,Tetragastris panamensis,Burseraceae,43,20140227
T20,8,matamata branco,Eschweilera coriacea,Lecythidaceae,46.6,20140227
T20,13,abiu cutite,NA,NA,37,20140227
T20,15,timborana,Pseudopiptadenia suaveolens,Fabaceae,42.8,20140227
T20,20,abiurana branca,Pouteria guianensis,Sapotaceae,81,20140227
T20,22,uxirana,Sacoglottis guianensis,Humiriaceae,38.1,20140227
T20,23,tachi preto,Tachigali myrmecophila,Fabaceae,81,20140227
T20,24,piquiarana,Caryocar glabrum,Caryocaraceae,42,20140227
T20,28,joao-mole,Neea oppositifolia,Nyctaginaceae,78.1,20140227
T20,29,fava-saboeiro,Abarema cochleata,Fabaceae,47.5,20140227
T20,31,jatereu,Lecythis idatimon,Lecythidaceae,36.2,20140227
T20,33,angelim vermelho,Dinizia excelsa,Fabaceae,141,20140227
T20,34,breu vermelho,Protium hebetatum,Burseraceae,61,20140227
T20,36,parajuba,Manilkara bidentata,Sapotaceae,49.6,20140227
T20,37,morta,NA,NA,60.3,20140227
T20,38,uxirana,Sacoglottis guianensis,Humiriaceae,37.5,20140227
T20,42,morta,NA,NA,37.8,20140227
T20,43,jatereu,Lecythis idatimon,Lecythidaceae,39.6,20140227
T20,44,breu barrote,Tetragastris panamensis,Burseraceae,43.8,20140227
T20,45,guajara cinza,Pouteria sp.,Sapotaceae,42.2,20140227
T20,47,abiurana branca,Pouteria guianensis,Sapotaceae,36.7,20140227
T20,48,piquiarana,Caryocar glabrum,Caryocaraceae,120.9,20140227
T20,49,breu vermelho,Protium hebetatum,Burseraceae,57.8,20140227
T20,50,matamata preto,Eschweilera ovata,Lecythidaceae,54.2,20140227
T20,53,ipe roxo,Handroanthus impetiginosus,Bignoniaceae,80.5,20140227
T20,54,andirobarana,Guarea guidonia,Meliaceae,42.9,20140227
T20,56,caramuxi,Pouteria hispida,Sapotaceae,55.8,20140227
T20,58,caramuxi,Pouteria hispida,Sapotaceae,36.8,20140227
T20,59,matamata branco,Eschweilera coriacea,Lecythidaceae,50.1,20140227
T20,62,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,72,20140227
T20,64,guajara cinza,Pouteria sp.,Sapotaceae,89.3,20140227
T20,65,caramuxi,Pouteria hispida,Sapotaceae,65.7,20140227
T20,66,goiabao,Pradosia cochlearia,Sapotaceae,46.3,20140227
T20,67,jarana,Lecythis lurida,Lecythidaceae,54.9,20140227
T20,71,guajara branco,Pouteria sp.,Sapotaceae,37.3,20140227
T20,72,goiabao,Pradosia cochlearia,Sapotaceae,43.2,20140227
T20,73,axixa,Sterculia pruriens,Malvaceae,44.2,20140227
T20,75,matamata branco,Eschweilera coriacea,Lecythidaceae,47.9,20140227
T20,76,breu barrote,Tetragastris panamensis,Burseraceae,40.3,20140227
T20,77,caramuxi,Pouteria hispida,Sapotaceae,36,20140227
T20,78,jatereu,Lecythis idatimon,Lecythidaceae,37.7,20140227
T20,79,inhare,Helicostylis sp.,Moraceae,45.1,20140227
T20,80,matamata branco,Eschweilera coriacea,Lecythidaceae,38.9,20140227
T20,87,abiurana branca,Pouteria guianensis,Sapotaceae,40.9,20140227
T20,89,embauba branca,Cecropia palmata,Urticaceae,41,20140227
T20,90,embauba branca,Cecropia palmata,Urticaceae,37.7,20140227
T20,93,parajuba,Manilkara bidentata,Sapotaceae,49.7,20140227
T20,95,louro preto,Nectandra cuspidata,Lauraceae,36,20140227
T20,96,morta,NA,NA,39.6,20140227
T21,2,matamata preto,Eschweilera ovata,Lecythidaceae,68.7,20140324
T21,3,abiurana,Pouteria gongrijpii,Sapotaceae,44,20140324
T21,4,jatereu,Lecythis idatimon,Lecythidaceae,39,20140324
T21,5,matamata preto,Eschweilera ovata,Lecythidaceae,58,20140324
T21,6,cajuacu,Anacardium spruceanum,Anacardiaceae,85,20140324
T21,7,caramuxi,Pouteria hispida,Sapotaceae,43.5,20140324
T21,8,abiurana,Pouteria gongrijpii,Sapotaceae,70.3,20140324
T21,10,abiurana,Pouteria gongrijpii,Sapotaceae,72.3,20140324
T21,12,abiurana branca,Pouteria guianensis,Sapotaceae,47,20140324
T21,13,breu vermelho,Protium hebetatum,Burseraceae,41,20140324
T21,14,matamata branco,Eschweilera coriacea,Lecythidaceae,37,20140324
T21,15,abiurana branca,Pouteria guianensis,Sapotaceae,54.8,20140324
T21,16,jatereu,Lecythis idatimon,Lecythidaceae,43,20140324
T21,19,iperana,Eperua bijuga,Fabaceae,37.3,20140324
T21,20,iperana,Eperua bijuga,Fabaceae,37.4,20140324
T21,25,abiurana branca,Pouteria guianensis,Sapotaceae,42.7,20140324
T21,29,breu vermelho,Protium hebetatum,Burseraceae,47.7,20140324
T21,30,iperana,Eperua bijuga,Fabaceae,41.9,20140324
T21,32,louro-abacate,Ocotea glomerata,Lauraceae,48.1,20140324
T21,33,matamata preto,Eschweilera ovata,Lecythidaceae,60.9,20140324
T21,38,macaranduba,Manilkara huberi,Sapotaceae,112.3,20140324
T21,39,seringueira,Hevea brasiliensis,Euphorbiaceae,85.9,20140324
T21,41,iperana,Eperua bijuga,Fabaceae,37.2,20140324
T21,43,roxinho,Peltogyne lecointei,Fabaceae,74,20140324
T21,44,seringarana,Micrandra minor,Euphorbiaceae,42.5,20140324
T21,45,matamata branco,Eschweilera coriacea,Lecythidaceae,42,20140324
T21,46,uxirana,Sacoglottis guianensis,Humiriaceae,53.8,20140324
T21,49,mapatirana,Pourouma villosa,Urticaceae,45.9,20140324
T21,50,breu barrote,Tetragastris panamensis,Burseraceae,58.4,20140324
T21,51,uxi,Endopleura uchi,Humiriaceae,40,20140324
T21,52,caramuxi,Pouteria hispida,Sapotaceae,40.8,20140324
T21,53,matamata preto,Eschweilera ovata,Lecythidaceae,38.5,20140324
T21,54,freijo branco,Cordia scabrifolia,Boraginaceae,52.2,20140324
T21,55,uxi,Endopleura uchi,Humiriaceae,51.2,20140324
T21,56,abiu cutite,NA,NA,45.3,20140324
T21,58,carapanauba,Aspidosperma excelsum,Apocynaceae,51.5,20140324
T21,60,mapatirana,Pourouma villosa,Urticaceae,65,20140324
T21,61,inga,Inga marginata,Fabaceae,36.7,20140324
T21,62,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,55.5,20140324
T21,63,ucuuba,Virola michelii,Myristicaceae,49.1,20140324
T21,66,matamata branco,Eschweilera coriacea,Lecythidaceae,41,20140324
T21,67,parajuba,Manilkara bidentata,Sapotaceae,79.1,20140324
T21,69,guajara cinza,Pouteria sp.,Sapotaceae,72.3,20140324
T21,72,iperana,Eperua bijuga,Fabaceae,37.5,20140324
T21,73,iperana,Eperua bijuga,Fabaceae,46.2,20140324
T21,74,macucu,Licania guianensis,Chrysobalanaceae,63.4,20140324
T21,76,breu barrote,Tetragastris panamensis,Burseraceae,55,20140324
T21,79,matamata branco,Eschweilera coriacea,Lecythidaceae,57,20140324
T21,81,breu barrote,Tetragastris panamensis,Burseraceae,52.8,20140324
T21,82,tauari,Couratari stellata,Lecythidaceae,43,20140324
T21,84,araracanga,Aspidosperma spruceanum,Apocynaceae,38.8,20140324
T21,85,macaranduba,Manilkara huberi,Sapotaceae,87,20140324
T21,87,iperana,Eperua bijuga,Fabaceae,38.6,20140324
T21,88,matamata branco,Eschweilera coriacea,Lecythidaceae,50.4,20140324
T21,90,mapatirana,Pourouma minor,Urticaceae,42.6,20140324
T21,91,inga-xixica,Inga heterophylla,Fabaceae,38.3,20140324
T21,94,matamata branco,Eschweilera coriacea,Lecythidaceae,44.4,20140324
T21,97,caramuxi,Pouteria hispida,Sapotaceae,40.5,20140324
T21,98,seringarana,Micrandra minor,Euphorbiaceae,45.9,20140324
T21,102,breu barrote,Tetragastris panamensis,Burseraceae,36.8,20140324
T21,103,iperana,Eperua bijuga,Fabaceae,63.5,20140324
T21,104,jutai-pororoca,Dialium guianense,Fabaceae,45.5,20140324
T21,105,mato,NA,NA,36.3,20140324
T22,2,tachi preto,Tachigali myrmecophila,Fabaceae,59,20140320
T22,3,tachi preto,Tachigali myrmecophila,Fabaceae,53.2,20140320
T22,5,uxi,Endopleura uchi,Humiriaceae,43.6,20140320
T22,8,caramuxi,Pouteria hispida,Sapotaceae,36.3,20140320
T22,9,matamata branco,Eschweilera coriacea,Lecythidaceae,41.3,20140320
T22,11,louro,Ocotea canaliculata,Lauraceae,42.2,20140320
T22,19,tanibuca,Terminalia amazonia,Combretaceae,53.2,20140320
T22,22,breu barrote,Tetragastris panamensis,Burseraceae,45.7,20140320
T22,29,macaranduba,Manilkara huberi,Sapotaceae,80.3,20140320
T22,30,axixa,Sterculia pruriens,Malvaceae,48.8,20140320
T22,31,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,51,20140320
T22,32,breu barrote,Tetragastris panamensis,Burseraceae,41.9,20140320
T22,33,taperebarana,Spondias sp.,Anacardiaceae,38.1,20140320
T22,36,itauba,Mezilaurus itauba,Lauraceae,92.5,20140320
T22,39,matamata preto,Eschweilera ovata,Lecythidaceae,81,20140320
T22,44,uxirana,Sacoglottis guianensis,Humiriaceae,58,20140320
T22,45,joao-mole,Neea oppositifolia,Nyctaginaceae,35.7,20140320
T22,48,guajara cinza,Pouteria sp.,Sapotaceae,44.9,20140320
T22,49,matamata branco,Eschweilera coriacea,Lecythidaceae,54,20140320
T22,50,iperana,Eperua bijuga,Fabaceae,39.6,20140320
T22,52,louro cunauaru,Endlicheria sp.,Lauraceae,61.1,20140320
T22,53,seringueira,Hevea brasiliensis,Euphorbiaceae,37.2,20140320
T22,55,preciosa,Aniba canelilla,Lauraceae,42.8,20140320
T22,56,angelim vermelho,Dinizia excelsa,Fabaceae,128,20140320
T22,61,jatereu,Lecythis idatimon,Lecythidaceae,42.4,20140320
T22,62,morta,NA,NA,70.5,20140320
T22,63,pintadinho,Poeppigia procera,Fabaceae,44.4,20140320
T22,64,breu barrote,Tetragastris panamensis,Burseraceae,40.2,20140320
T22,66,tachirana,Stryphnodendron paniculatum,Fabaceae,36.9,20140320
T22,67,tachi preto,Tachigali myrmecophila,Fabaceae,55.8,20140320
T22,72,breu barrote,Tetragastris panamensis,Burseraceae,47.7,20140320
T22,77,envira preta,Guatteria schomburgkiana,Annonaceae,40.1,20140320
T22,84,breu barrote,Tetragastris panamensis,Burseraceae,40.7,20140320
T22,89,angelim rajado,Zygia racemosa,Fabaceae,42.5,20140320
T22,95,anani,Symphonia globulifera,Clusiaceae,42.6,20140320
T22,97,breu barrote,Tetragastris panamensis,Burseraceae,41.5,20140320
T22,98,abiu canelado,Micropholis crassipedicellata,Sapotaceae,54.1,20140320
T22,99,abiurana branca,Pouteria guianensis,Sapotaceae,36.2,20140320
T22,100,macaranduba,Manilkara huberi,Sapotaceae,62.3,20140320
T22,101,pau-jacare,Laetia procera,Salicaceae,51,20140320
