parcela,arv,comum,cientifico,familia,dap.2013,Hcom.2013,Htot.2013,UTM_Easting,UTM_Northing
T06,46,TIMBORANA,Pseudopiptadenia suaveolens,Fabaceae,38.8,18.52,24.63,219317.9843,9633303.632
T06,47,ABIURANA,Pouteria gongrijpii,Sapotaceae,38.5,12.67,25.58,219321.2664,9633312.292
T06,48,EMBAUBA,Cecropia ficifolia,Urticaceae,11.5,9.63,11.08,219327.9664,9633314.615
T06,49,EMBAUBA,Cecropia ficifolia,Urticaceae,13,8.59,13.05,219330.8998,9633317.602
T06,50,EMBAUBA,Cecropia ficifolia,Urticaceae,16,9.91,13.87,219333.0311,9633317.864
T06,51,EMBAUBA,Cecropia ficifolia,Urticaceae,13.6,8.24,11.81,219333.2684,9633317.423
T06,52,EMBAUBA,Cecropia ficifolia,Urticaceae,11.6,7.7,10.17,219333.3961,9633317.608
T06,53,EMBAUBA,Cecropia ficifolia,Urticaceae,15.6,12.81,16.76,219350.9367,9633327.848
T06,54,EMBAUBA,Cecropia ficifolia,Urticaceae,15.2,10.28,13.55,219353.4363,9633329.112
T07,1,EMBAUBA,Cecropia ficifolia,Urticaceae,13,9.28,12.45,219026.6064,9632928.743
T07,2,EMBAUBA,Cecropia ficifolia,Urticaceae,12,7.64,9.54,219030.2515,9632931.043
T07,3,EMBAUBA,Cecropia ficifolia,Urticaceae,12.8,12.56,13.83,219042.6962,9632936.828
T07,4,MORTA,NA,NA,32.3,NA,9.67,219046.1526,9632940.957
T07,5,EMBAUBA,Cecropia ficifolia,Urticaceae,14.5,10.11,14.25,219058.1096,9632946.593
T07,6,EMBAUBA,Cecropia ficifolia,Urticaceae,12.7,10.73,14.12,219063.6582,9632949.577
T07,7,EMBAUBA,Cecropia ficifolia,Urticaceae,15,9.86,14.09,219063.875,9632949.807
T07,8,EMBAUBA,Cecropia ficifolia,Urticaceae,12.2,10.45,12.55,219068.8544,9632952.371
T07,9,MORTA,NA,NA,40,NA,11.84,219081.7129,9632959.286
T07,10,EMBAUBA,Cecropia ficifolia,Urticaceae,10,7.83,14.33,219090.5675,9632963.935
T07,11,CASCA SECA,Licania canescens,Chrysobalanaceae,53.8,17.26,29.98,219096.6245,9632967.873
T07,12,EMBAUBA,Cecropia ficifolia,Urticaceae,13.5,4.04,5.04,219103.9071,9632971.222
T07,13,EMBAUBA,Cecropia ficifolia,Urticaceae,10.6,8.71,11.1,219107.7615,9632972.5
T07,14,MORTA,NA,NA,11.6,NA,7.37,219129.9698,9632985.465
T07,15,MORTA,NA,NA,18.3,NA,4.13,219143.4722,9632993.294
T07,16,ABIU ROSADINHO,Pouteria anibifolia,Sapotaceae,17,10.03,12.6,219148.3162,9632995.899
T07,17,EMBAUBA,Cecropia ficifolia,Urticaceae,12,10.1,12.05,219152.3468,9632997.272
T07,18,MORTA,NA,NA,34.2,NA,30,219152.7323,9632996.344
T07,19,EMBAUBA,Cecropia ficifolia,Urticaceae,12.8,10.67,13.12,219160.3813,9633000.911
T07,20,MATA MATA VERMELHO,Eschweilera grandifolia,Lecythidaceae,46,18.7,26.91,219162.6817,9633009.302
T07,21,MATAMATA,Eschweilera parviflora,Lecythidaceae,73,26.85,30.14,219170.854,9633017.33
T07,22,MATAMATA,Eschweilera parviflora,Lecythidaceae,55,18,29.04,219179.0749,9633014.711
T07,23,EMBAUBA,Cecropia ficifolia,Urticaceae,12.5,7.98,10.9,219189.2556,9633016.894
T07,24,EMBAUBA,Cecropia ficifolia,Urticaceae,16,11.2,17.22,219189.3503,9633016.718
T07,25,EMBAUBA,Cecropia ficifolia,Urticaceae,18.3,14.11,17.35,219189.7766,9633015.925
T07,26,EMBAUBA,Cecropia ficifolia,Urticaceae,11.5,9.24,12.3,219208.2896,9633027.325
T07,27,BARROTE,Tetragastris altissima,Burseraceae,52,24.05,31.08,219213.5594,9633022.998
T07,28,MATAMATA,Eschweilera parviflora,Lecythidaceae,24.5,8.82,13.27,219210.2519,9633029.167
T07,29,ABIU ROSADINHO,Pouteria anibifolia,Sapotaceae,40,16.79,28.05,219219.2067,9633033.84
T07,30,MATA MATA BRANCO,Eschweilera coriacea,Lecythidaceae,54.3,21.01,32,219228.5898,9633042.37
T07,31,JATEREU,Lecythis idatimon,Lecythidaceae,26.5,14.99,21.15,219235.1257,9633040.761
T07,32,INGA,Inga marginata,Fabaceae,12.3,7.06,9.51,219238.8897,9633042.206
T07,33,MORTA,NA,NA,67.5,NA,36.41,219241.4254,9633039.592
T07,34,INGA,Inga marginata,Fabaceae,12.6,2.14,13.92,219246.8365,9633047.7
T07,35,INGA,Inga marginata,Fabaceae,12.3,6.86,13.73,219246.7893,9633047.788
T07,36,MORTA,NA,NA,22.6,NA,13.7,219250.717,9633049.774
T07,37,MORTA,NA,NA,16.3,NA,7.53,219252.8746,9633051.041
T07,38,MASSARANDUBA,Manilkara huberi,Sapotaceae,51.3,27.65,37.73,219255.3632,9633045.341
T07,39,EMBAUBA,Cecropia ficifolia,Urticaceae,11.5,9.4,12.49,219254.9503,9633052.037
T07,40,MORTA,NA,NA,37,NA,4.2,219262.3241,9633052.463
T07,41,FAVA,Parkia sp.,Fabaceae,11,9.17,13.93,219270.2866,9633058.986
T07,42,FAVA,Parkia sp.,Fabaceae,10.5,9.27,14.09,219270.2866,9633058.986
T07,43,INHARE,Helicostylis sp.,Moraceae,62,26.8,33.81,219279.4587,9633063.889
T07,44,BARROTE,Tetragastris altissima,Burseraceae,35,11.48,17.02,219282.9234,9633068.008
T07,45,MAPARAJUBA,Manilkara amazonica,Sapotaceae,52.5,21.04,31.91,219296.7725,9633067.706
T07,46,MORTA,NA,NA,10.8,NA,14.42,219314.1055,9633083.561
T07,47,EMBAUBA,Cecropia ficifolia,Urticaceae,13.6,12.73,14.47,219314.6785,9633085.02
T07,48,MORTA,NA,NA,11.7,NA,13.11,219320.9017,9633088.228
T07,49,FAVA,Parkia sp.,Fabaceae,14,10.36,13.86,219331.0323,9633093.251
T07,50,A?ITA CAVALO,Luehea sp.,Malvaceae,62,26.25,41.01,219331.645,9633092.333
T07,51,JUTAI POROROCA,Dialium guianense,Fabaceae,43.4,17.83,24.79,219335.8944,9633092.053
T07,52,MATAMATA,Eschweilera parviflora,Lecythidaceae,25.9,19.96,27.92,219337.0883,9633096.139
T07,53,BARROTE,Tetragastris altissima,Burseraceae,54,7.33,12.55,219350.5057,9633105.376
T07,54,JUTAI POROROCA,Dialium guianense,Fabaceae,41.2,14.28,26.4,219365.1805,9633116.907
T07,55,FAVA,Parkia sp.,Fabaceae,19,11.3,18.83,219374.8414,9633118.816
T07,56,FAVA,Parkia sp.,Fabaceae,18,11.3,18.83,219374.8414,9633118.816
T07,57,EMBAUBA,Cecropia ficifolia,Urticaceae,32.8,14.98,21.03,219381.5419,9633121.145
T07,58,MORTA,NA,NA,15.5,NA,7.87,219392.3808,9633127.588
T07,59,MATAMATA,Eschweilera parviflora,Lecythidaceae,52.7,19.72,30.34,219385.5843,9633117.894
T07,60,EMBAUBA,Cecropia ficifolia,Urticaceae,11.4,10.96,14.79,219394.3225,9633128.203
T07,61,FAVA BARBATIMAO,Stryphnodendron pulcherrimum,Fabaceae,43,15.31,20.2,219429.5123,9633137.584
T07,62,JUTAI POROROCA,Dialium guianense,Fabaceae,33,17.28,23.45,219451.0792,9633158.633
T08,1,EMBAUBA,Cecropia ficifolia,Urticaceae,13,10.78,12.8,219122.8682,9632753.842
T08,2,LOURO PRETO,Nectandra cuspidata,Lauraceae,10.3,6.5,8.79,219123.1398,9632753.763
T08,3,LOURO PRETO,Nectandra cuspidata,Lauraceae,12.2,7.15,11.22,219123.6523,9632753.246
T08,4,MORTA,NA,NA,22,NA,15.39,219126.807,9632754.981
T08,5,EMBAUBA,Cecropia ficifolia,Urticaceae,20.3,12.16,17.24,219125.8434,9632756.733
T08,6,PARAPARA,Jacaranda copaia,Bignoniaceae,11.2,12.6,14.83,219145.7,9632766.281
T08,7,EMBAUBA,Cecropia ficifolia,Urticaceae,10.6,9.19,13.64,219148.7276,9632767.831
T08,8,EMBAUBA,Cecropia ficifolia,Urticaceae,11.7,9.08,12.77,219151.2032,9632769.763
T08,9,EMBAUBA,Cecropia ficifolia,Urticaceae,13,10.58,14.14,219163.7866,9632775.312
T08,10,EMBAUBA,Cecropia ficifolia,Urticaceae,10.8,6.62,9.7,219163.8742,9632775.36
T08,11,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,10.2,4.73,7.51,219164.4967,9632777.756
T08,12,MORTA,NA,NA,37.7,NA,2.22,219176.8172,9632783.16
T08,13,TATAPIRIRICA,Tapirira guianensis,Anacardiaceae,12,5.96,10.4,219181.4354,9632786.384
T08,14,JANAUBA,NI,NI,11.8,4.62,7.4,219184.0161,9632787.917
T08,15,ABIU GUAJARA,NI,NI,72,25.92,39.91,219188.0967,9632799.176
T08,16,INGA CHICHICA,Inga heterophylla,Fabaceae,14.8,5.62,9.37,219193.9444,9632792.691
T08,17,MATAMATA,Eschweilera parviflora,Lecythidaceae,14.1,6.92,11.44,219195.1579,9632792.559
T08,18,ABIURANA CASCA FINA,Pouteria retinervis,Sapotaceae,17.8,12.23,17.05,219200.7138,9632796.983
T08,19,MASSARANDUBA,Manilkara huberi,Sapotaceae,25.3,8.13,19.57,219210.3049,9632802.37
T08,20,ABIURANA AMARELA,NI,NI,11,3.37,6.76,219210.4276,9632802.438
T08,21,FAVA CANA,NI,NI,12.6,8.44,14.96,219216.189,9632804.122
T08,22,FAVA CANA,NI,NI,14.8,8.52,12.66,219217.2409,9632806.982
T08,23,LOURO CANELAdo,Ocotea canaliculata,Lauraceae,15.3,7.45,13.17,219218.0952,9632806.882
T08,24,ABIU CUTITE,Pouteria macrophilla,Sapotaceae,36.5,17.66,25.41,219283.9709,9632844.811
T08,25,PAU DE REMO,Chimarrhis turbinata,Rubiaceae,52,15.84,22.17,219296.4338,9632850.132
T08,26,ABIU TAUARI,NI,NI,55,7.99,17.57,219303.8836,9632851.092
T08,27,MATA MATA BRANCO,Eschweilera coriacea,Lecythidaceae,43.7,17.1,26.29,219302.1357,9632862.652
T08,28,FREIJO BRANCO,Cordia scabrifolia,Boraginaceae,17.2,4.61,8.29,219314.1047,9632858.666
T08,29,MATA MATA BRANCO,Eschweilera coriacea,Lecythidaceae,41.4,15.95,24.61,219313.6483,9632866.605
T08,30,MORTA,NA,NA,25,NA,14.5,219324.5329,9632865.443
T08,31,FAVA,Parkia sp.,Fabaceae,11,4.8,7.87,219326.1306,9632864.602
T08,32,CASCA SECA,Licania canescens,Chrysobalanaceae,50.6,19.77,33.12,219326.7643,9632875.973
T08,33,JATEREU,Lecythis idatimon,Lecythidaceae,14.2,10.51,13.71,219340.3477,9632871.95
T08,34,EMBAUBA,Cecropia ficifolia,Urticaceae,10.6,9.04,12.19,219379.923,9632894.399
T08,35,EMBAUBA,Cecropia ficifolia,Urticaceae,13.7,10.85,16.45,219382.1897,9632895.672
T08,36,MORTA,NA,NA,35.6,NA,3.19,219390.4224,9632899.38
T08,37,EMBAUBA,Cecropia ficifolia,Urticaceae,13,10.66,13.24,219394.0077,9632902.197
T08,38,EMBAUBA,Cecropia ficifolia,Urticaceae,10.8,10.67,13.82,219394.8312,9632902.775
T08,39,MATAMATA,Eschweilera parviflora,Lecythidaceae,35,20.48,28.27,219398.2688,9632903.789
T08,40,ABIU ROSADINHO,Pouteria anibifolia,Sapotaceae,40,21.48,28.94,219407.7652,9632911.418
T08,41,MASSARANDUBA,Manilkara huberi,Sapotaceae,55.5,27.99,36.64,219407.9667,9632917.266
T08,42,JATEREU,Lecythis idatimon,Lecythidaceae,24.4,17.14,24.55,219416.482,9632915.283
T08,43,GUAJARA,Pouteria sp.,Sapotaceae,53,26.73,33.08,219417.6505,9632920.413
T08,44,MORTA,NA,NA,11.8,NA,9.94,219444.9612,9632930.939
T08,45,SUCUPIRA AMARELA,NI,NI,50.2,21.1,31.05,219451.4474,9632931.601
T08,46,MORTA,NA,NA,20.5,NA,3.24,219451.9077,9632935.53
T08,47,MORTA,NA,NA,23,NA,17.45,219454.4547,9632936.502
T08,48,INHARE,Helicostylis sp.,Moraceae,60,26.62,31.76,219456.789,9632944.696
T08,49,MAMONINHA,NI,NI,13.5,7.25,11.41,219466.0969,9632941.896
T08,50,MATA MATA CI,Eschweilera amazonica,Lecythidaceae,24,11.32,20.04,219480.2205,9632949.831
T08,51,TAUARI,Couratari stellata,Lecythidaceae,64,17.16,25.23,219488.0472,9632961.11
T08,52,MORTA,NA,NA,54,NA,17.58,219498.7107,9632951.503
T08,53,EMBAUBA,Cecropia ficifolia,Urticaceae,10.5,8.17,12.07,219508.6045,9632966.696
T08,54,MORTA,NA,NA,15,NA,4.28,219511.617,9632968.274
T08,55,MATAMATA PRETO,Eschweilera ovata,Lecythidaceae,12,8.45,13.96,219516.2578,9632971.454
T08,56,MERAUBA,Mouriri collocarpa,Melastomataceae,20,10.3,15.74,219516.4322,9632971.552
T08,57,TACHI,Tachigali myrmecophila,Fabaceae,47,21.83,29.98,219522.2696,9632979.191
T08,58,MORTA,NA,NA,11.7,NA,4.82,219528.949,9632979.502
T08,59,TAXIRANA,Stryphnodendron paniculatum,Fabaceae,41,17.2,25.03,219533.6971,9632983.317
T08,60,MORTA,NA,NA,21,NA,20.75,219539.8533,9632983.335
T08,61,MORTA,NA,NA,23.8,NA,19.99,219545.5901,9632988.049
T08,62,TAXIRANA,Stryphnodendron paniculatum,Fabaceae,44,23.54,32.82,219548.4104,9632983.554
T08,63,PAU DE REMO,Chimarrhis turbinata,Rubiaceae,48.2,13.4,22.1,219550.3818,9632981.221
T09,1,MORTA,NA,NA,49.5,NA,27.2,219217.2327,9632590.289
T09,2,EMBAUBA BRANCA,Cecropia palmata,Urticaceae,12.2,10.67,13.36,219220.4086,9632588.582
T09,3,MORTA,NA,NA,43,NA,31.37,219283.8335,9632626.913
T09,4,EMBAUBA,Cecropia ficifolia,Urticaceae,45,9.25,12.79,219288.7274,9632626.235
T09,5,MORTA,NA,NA,10.3,NA,4.42,219330.7229,9632647.368
T09,6,MORTA,NA,NA,39,NA,27.68,219330.5237,9632649.868
T09,7,EMBAUBA BRANCA,Cecropia palmata,Urticaceae,16.4,11.98,15.13,219356.681,9632662.447
T09,8,MORTA,NA,NA,29,NA,22.9,219357.4694,9632663.094
T09,9,INGA,Inga marginata,Fabaceae,10.3,6.49,10.71,219364.7234,9632666.28
T09,10,ROXINHO,Peltogyne leicointei,Fabaceae,62,18.55,29.17,219370.494,9632666.295
T09,11,TAXI BRANCO,Tachigali paniculata,Fabaceae,72.4,21.05,26,219414.4178,9632694.825
T09,12,MORTA,NA,NA,12,2.8,2.59,219391.0426,9632681.305
T09,13,JATEREU,Lecythis idatimon,Lecythidaceae,19.5,7.7,11.26,219444.0358,9632710.657
T09,14,EMBAUBA,Cecropia ficifolia,Urticaceae,16.8,8.04,15.2,219445.1772,9632713.616
T09,15,MORTA,NA,NA,40,NA,13.05,219443.6202,9632720.788
T09,16,JOAO MOLE,Neea oppositifolia,Nyctaginaceae,14,6.56,11.51,219455.2839,9632718.029
T09,17,EMBAUBA BRANCA,Cecropia palmata,Urticaceae,15.5,3.09,4.73,219455.2123,9632718.16
T09,18,EMBAUBA BRANCA,Cecropia palmata,Urticaceae,10,9.49,10.33,219457.473,9632718.176
T09,19,EMBAUBA BRANCA,Cecropia palmata,Urticaceae,11.5,8.73,11.59,219458.314,9632720.835
T09,20,MORTA,NA,NA,13.7,NA,7.84,219465.4638,9632724.424
T09,21,EMBAUBA,Cecropia ficifolia,Urticaceae,15.3,9.8,13.52,219466.6256,9632725.007
T09,22,EMBAUBA,Cecropia ficifolia,Urticaceae,16.5,7.35,12.1,219468.6182,9632724.889
T09,23,ENVIRA SURUCUCU,Duguetia stelechantha,Annonaceae,13.2,5.72,6.02,219508.9776,9632744.813
T09,24,JATEREU,Lecythis idatimon,Lecythidaceae,45.7,16.45,26.15,219522.9769,9632758.887
T09,25,CASCA SECA,Licania canescens,Chrysobalanaceae,36.4,17.92,24.21,219527.4982,9632758.919
T09,26,TAXIRANA,Stryphnodendron paniculatum,Fabaceae,30.5,15.14,23.29,219535.6946,9632758.448
T09,27,FAVA ORELHA DE MACACO,Enterolobium schomburgkii,Fabaceae,46.5,17.57,27.77,219534.5953,9632764.719
T09,28,TAUARI,Couratari stellata,Lecythidaceae,35.3,14.11,19.85,219540.1159,9632760.779
T09,29,NI,NI,NI,15.3,12.32,15.81,219545.8883,9632763.341
T09,30,MATA MATA BRANCO,Eschweilera coriacea,Lecythidaceae,68,16.65,28.49,219549.1744,9632760.181
T09,31,INGA,Inga marginata,Fabaceae,41.8,12.98,19.95,219549.0003,9632767.476
T09,32,INGA,Inga marginata,Fabaceae,16,12.98,19.83,219559.8724,9632770.472
T09,33,INGA,Inga marginata,Fabaceae,47.3,15,24.51,219587.1154,9632781.016
T09,34,JOAO MOLE,Neea oppositifolia,Nyctaginaceae,42.2,17.8,25.23,219595.9161,9632783.644
T09,35,NI,NI,NI,29.6,11.08,21.75,219607.2396,9632794.249
T09,36,TIMBORANA,Pseudopiptadenia suaveolens,Fabaceae,12,9.1,16.59,219611.4978,9632797.729
T09,37,BREU SUCURUBA,Trattinnickia burseraefolia,Burseraceae,11,11.52,14.26,219613.3746,9632798.671
T09,38,ANGELIM RAJADO,Zygia racemosa,Fabaceae,13.7,7.42,14.57,219618.8316,9632801.187
T09,39,ABIURANA,Pouteria gongrijpii,Sapotaceae,16,7.58,16.09,219620.535,9632801.818
T09,40,INGA,Inga marginata,Fabaceae,15.6,11.43,15.8,219621.0555,9632800.849
T09,41,MORTA,NA,NA,38.4,NA,10.52,219621.1296,9632795.853
T09,42,JANAUBA,NI,NI,15.9,7.4,9.96,219632.6424,9632806.106
T10,1,MORTA,NA,NA,20.2,NA,6.59,219295.6522,9632409.973
T10,2,LACRE BRANCO,Vismia guianensis,Clusiaceae,16.8,2.27,3.81,219298.6437,9632411.177
T10,3,SUCUPIRA PRETA,Bowdichia nitida,Fabaceae,40.2,19.48,30.26,219300.3239,9632415.771
T10,4,UXIRANA,Sacoglottis guianensis,Humiriaceae,40.5,17.21,30.35,219303.1019,9632411.595
T10,5,MORTA,NA,NA,13,NA,7.86,219305.1803,9632415.267
T10,6,BREU SUCURUBA,Trattinnickia burseraefolia,Burseraceae,35.8,8.78,12.86,219340.4375,9632430.051
T10,7,BREU SUCURUBA,Trattinnickia burseraefolia,Burseraceae,68.7,13.99,25.14,219343.934,9632431.993
T10,8,UXIRANA,Sacoglottis guianensis,Humiriaceae,45.8,13.93,23.46,219351.7041,9632438.599
T10,9,MORTA,NA,NA,38.7,NA,7.26,219363.5532,9632454.334
T10,10,CASCA SECA,Licania canescens,Chrysobalanaceae,11.7,9.68,12.7,219373.5089,9632452.887
T10,11,JUTAI POROROCA,Dialium guianense,Fabaceae,48.2,18.4,33.2,219376.6657,9632451.323
T10,12,ABIURANA,Pouteria gongrijpii,Sapotaceae,36,20.69,29.47,219377.2486,9632448.215
T10,13,ABIURANA ROSADINHA,NI,NI,26.7,10.05,16.21,219375.8885,9632454.781
T10,14,JUTAI MIRIM,Hymenaea parviflora,Fabaceae,39.2,17.7,24.52,219388.6124,9632454.529
T10,15,ACARIQUARA,Minquartia guianensis,Olacaceae,10,5.79,11.02,219393.9541,9632465.505
T10,16,ABIURANA,Pouteria gongrijpii,Sapotaceae,38,18.26,23.24,219399.1989,9632468.419
T10,17,INGA AMARELO,Inga sp.,Fabaceae,11.2,8.23,10.72,219406.192,9632472.304
T10,18,INGA AMARELO,Inga sp.,Fabaceae,10,10.57,13.24,219411.874,9632474.431
T10,19,PAU DE REMO,Chimarrhis turbinata,Rubiaceae,23.7,7.58,14.31,219414.9821,9632475.014
T10,20,SUCUPIRA BABONA,Diplotropis sp.,Fabaceae,58.8,31.31,39.16,219415.5355,9632479.783
T10,21,MORTA,NA,NA,72,NA,5.28,219420.4695,9632483.669
T10,22,NI,NI,NI,15.7,12.84,17.66,219430.7652,9632483.669
T10,23,ABIURANA CASCA FINA,Pouteria retinervis,Sapotaceae,14.2,14.58,18.66,219435.9128,9632488.817
T10,24,ACARIQUARA,Minquartia guianensis,Olacaceae,17.2,14.04,17.96,219441.7404,9632490.682
T10,25,NI,NI,NI,12.6,8.14,12.5,219450.8704,9632494.839
T10,26,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,12,8.02,12,219464.672,9632503.766
T10,27,INGA,Inga marginata,Fabaceae,14.5,8.52,10.64,219468.6056,9632506.981
T10,28,MORTA,NA,NA,12,NA,5.77,219475.821,9632508.67
T10,29,EMBAUBA BRANCA,Cecropia palmata,Urticaceae,12.5,9.71,13.87,219478.4086,9632510.19
T10,30,EMBAUBA BRANCA,Cecropia palmata,Urticaceae,12.5,7.11,10.52,219483.8847,9632514.76
T10,31,EMBAUBA BRANCA,Cecropia palmata,Urticaceae,12.7,8.76,11.81,219485.6588,9632515.269
T10,32,EMBAUBA BRANCA,Cecropia palmata,Urticaceae,19,7.71,13.09,219485.7552,9632515.094
T10,33,EMBAUBA BRANCA,Cecropia palmata,Urticaceae,13.2,10.3,15.44,219494.2237,9632518.786
T10,34,EMBAUBA BRANCA,Cecropia palmata,Urticaceae,15.5,10.37,13.03,219525.2928,9632536.583
T10,35,MORTA,NA,NA,38.2,NA,12.2,219555.4624,9632548.541
T10,36,TATAPIRIRICA,Tapirira guianensis,Anacardiaceae,16,10.37,13.55,219573.9778,9632563.021
T10,37,MARAVUVUIA,Croton matourensis,Euphorbiaceae,10.2,7.33,9.13,219592.807,9632574.45
T10,38,INGA AMARELO,Inga sp.,Fabaceae,30.6,18.69,23.26,219603.6969,9632579.541
T10,39,FAVA BARBATIMAO,Stryphnodendron pulcherrimum,Fabaceae,25.7,19.12,24.85,219604.8002,9632580.024
T10,40,MASSARANDUBA,Manilkara huberi,Sapotaceae,43.7,19.6,25.01,219603.5538,9632582.533
T10,41,JOAO MOLE,Neea oppositifolia,Nyctaginaceae,47,20.84,31.42,219609.3015,9632576.546
T10,42,INGA,Inga marginata,Fabaceae,13,9.72,13.55,219616.097,9632584.994
T10,43,EMBAUBA BRANCA,Cecropia palmata,Urticaceae,24.7,14.82,19.7,219617.6181,9632586.385
T10,44,MORTA,NA,NA,33.3,NA,3.94,219630.8978,9632595.041
T10,45,FAVA FOLHA FINA,Parkia sp.,Fabaceae,37.7,14.77,23.4,219636.4253,9632595.755
T10,46,MARAVUVUIA,Croton matourensis,Euphorbiaceae,10.5,5.47,9.06,219617.5704,9632586.473
T10,47,MORTA,NA,NA,10,8.58,11.12,219652.8756,9632604.648
T10,48,MORTA,NA,NA,41.8,NA,19.11,219658.5788,9632613.642
T10,49,JATEREU,Lecythis idatimon,Lecythidaceae,27,11.38,24.78,219665.7631,9632612.979
T10,50,MARAVUVUIA,Croton matourensis,Euphorbiaceae,14.4,9.23,15.17,219712.8855,9632639.361
T10,51,ABIURANA,Pouteria gongrijpii,Sapotaceae,39.7,22.49,31.72,219708.1315,9632635.541
T10,52,MATAMATA PRETO,Eschweilera ovata,Lecythidaceae,57,29.74,32.97,219714.7182,9632638.078
T10,53,PAU SANTO,Zollernia paraensis,Fabaceae,35,16.44,25.17,219716.144,9632639.645
T10,54,ABIU VERMELHO,Pouteria cladantha,Sapotaceae,38,23.16,27.53,219715.7076,9632648.844
T10,55,JATEREU,Lecythis idatimon,Lecythidaceae,43.3,19.79,27.06,219719.3731,9632646.278
T10,56,MATAMATA PRETO,Eschweilera ovata,Lecythidaceae,40.2,19.17,23.49,219720.0327,9632653.455
T10,57,JATEREU,Lecythis idatimon,Lecythidaceae,38,19.87,27.78,219724.2118,9632635.253
T10,58,MORTA,NA,NA,47,NA,3.86,219726.7042,9632641.147
T10,59,MARAVUVUIA,Croton matourensis,Euphorbiaceae,18,14.94,19.95,219736.8902,9632651.314
